124,1
109,1
120,1
79,1
187,1
75,1
90,1
173,1
143,1
8,1
181,1
114,1
134,1
35,1
174,1
102,1
86,1
39,1
36,1
110,1
70,1
1,1
108,1
137,1
43,1
64,1
111,1
33,1
153,1
62,1
76,1
32,1
149,1
139,3
9,3
37,3
127,3
95,3
21,3
50,3
199,3
118,3
13,3
94,3
117,3
24,3
78,3
17,3
80,3
170,3
200,3
104,3
115,3
125,3
47,3
150,3
53,3
67,3
25,3
168,3
30,3
113,3
196,3
171,3
65,3
96,3
88,3
195,3
18,5
42,5
2,5
16,5
14,5
44,5
7,5
82,5
11,5
161,5
4,5
194,5
193,5
92,5
83,5
58,5
164,5
77,5
74,5
22,5
126,5
182,5
6,5
26,5
191,5
99,5
87,5
85,5
157,5
31,5
97,5
165,5
167,5
61,5
98,5
34,5
179,5
105,5
45,5
132,5
119,5
192,5
169,5
116,5
148,5
129,5
107,5
