Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_
127,698.9219,,,,557.6174,,,,,,,,,,,,
130,,,,,,,,,,,199.4782,,,,,,
133,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,179.8956,,,,,,
136,,,462.8976,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,159.7301,,
138,13248.313,2477.447,329.4416,7493.9399,11477.868,,,,,,,,,,324.3788,,
140,20915.426,2466.2644,320.8842,7418.6306,11317.63,,,,,,,,,,,,
145,,,,,,,,,,,,,,286.9661,,,
146,,,,,,,,,,,,,,,,136.5119,
147,,,,,,6183.9999,12335.231,10288.2893,,1907.7063,6004.0395,4140.7484,,2038.543,4540.9639,5235.5591,
148,107.3201,,,,,,,,,,,,,,,,
149,,,,,,,190.3335,,,,,,,,,221.8282,
151,140.5002,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,
153,,,,,,185.5039,,250.8862,,,,,,169.3522,,239.5806,
155,,178.3792,285.2502,,,2713.8546,2966.4925,2961.6312,1325.6272,2536.7739,3594.4982,3246.2007,926.625,2910.9602,2696.2235,3067.0241,
157,,,,,,,,,,,126.8151,,,,,,
160,,,,,,,,,,,164.4235,,,280.5627,,520.7893,
161,,204.5403,210.0415,,,,,,,,,,,,,,
162,,,73.5678,,,501.2473,539.6513,585.391,268.7985,480.2566,706.3723,628.3023,,570.7327,541.5977,595.8667,
163,,,,,,,,,,,,,,,,,
164,1371.8824,128.2128,,,859.9617,,,,,,,,,,,,
165,,,59.5613,,,499.3661,521.067,523.939,,,628.7352,584.7555,,523.6642,497.8274,560.9483,
167,,,,,,120.7863,136.3685,143.3656,,,,,,,,,
168,,,,,,256.0275,458.742,340.7159,,,,,,98.086,,,
169,,764.813,1704.0984,1217.9085,640.3997,30972.8134,32156.4117,33734.7117,33266.7664,31364.552,40917.8077,37597.867,12978.9307,33890.0124,31667.0757,36833.303,10940.503
175,,151.2457,134.2876,,,,,,,,,,,,,,
176,,,,,,,,,,,143.3699,,,,,,
180,,,,,,,,445.3423,,408.6096,529.1645,439.5578,,,,,
181,,,,,,2087.4166,2309.1051,2347.9845,,2026.4667,2939.5963,2628.1429,645.818,2394.6748,2206.946,2513.1658,562.6102
182,,264.1135,338.075,700.6794,,,,,,350.2193,,,,,,,
185,,,180.9769,,,,,,,,,,,248.9708,,,327.6903
186,,,,,,,,,,339.9744,502.2629,,,,398.1784,,
187,407.8404,,,,504.9095,,,,,389.6741,882.8135,,750.3722,,,,
188,,,,,,,,,,294.5987,457.0019,348.1586,,195.2242,,,
189,13654.0808,1410.8521,,3545.6526,7265.1888,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,
193,,,,,,,,,254.8768,,185.5941,,364.2375,,219.6884,,357.1104
194,,,,,,,1106.0315,,,1038.1249,1243.9929,,,,,1204.5779,
195,,,,,,,,,,,,,,167.396,,,
196,723.568,,,,425.4034,,,,,,,,,,,,
197,,,,,,2633.4747,3741.932,1722.9245,,3167.4643,2917.2556,912.6359,,,,,
198,,,,,,160.9624,,,,,537.3899,,,,,,
199,,,,,,,143.3769,179.8988,,,314.8452,,,,,633.2191,
200,19736.432,4311.906,526.7368,9058.901,13877.972,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,391.7924,
202,,,,,,,,,,4847.0953,5948.0933,14378.3661,9323.4521,4187.461,2994.0503,1750.3637,2499.4137
203,562.7004,,1784.4004,,1324.2876,2273.7296,2292.7547,2162.3794,2419.8625,2271.8898,1816.8902,1972.777,3220.7716,1935.9677,2096.5882,2168.7452,3279.4464
204,,,,,,,,,,,340.2583,,,,,,
205,,,137.8177,,,,,,,,,,,,163.3873,,
206,,,,,,,,103.9547,,,,,,,,,
207,1589.3582,,,,855.6946,,,,,,,,,,,,
208,,,,,,275.3179,435.6212,210.4868,,363.7655,321.8633,101.9372,,,,,
209,,,,,,,,,,,,230.1275,,,,,
212,319.5595,,209.965,,,,,,,,,,,,,,
217,3393.27,,,996.4459,1928.1621,,,,,,,,,,,,
220,,,,,,594.6061,690.1471,,,,,,,203.5493,,202.4803,
224,,,,,,34844.2897,93769.29,61919.9033,354.591,42683.999,69514.119,49860.6177,,48097.892,47724.6783,54188.5217,
226,11417.892,1060.9457,,2892.2492,5230.2354,,,,,,,,,,,,
227,4435.6655,,,1257.8007,2309.5413,,,,,,,,,,,,
228,,,,,,391.6233,,517.3824,,,552.8623,414.7081,,558.0579,437.8474,621.6429,
230,,,,,,,,,,,,,,,,,
232,,,,,,,183.6768,186.1787,,,,,,,,,
234,,,,144.813,,,,,,,,,,,,,
236,,492.588,587.9587,,365.3528,,,,,,,,,,,,
237,,,249.3856,,,,,,,,,,,,,,
238,,,,,,519.4684,529.2113,818.7944,405.7098,,,,,232.1114,,,
