Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_
641,,,,,189.4082,,,,,,,,,,,,
644,196.4057,,,,,,,,,,,,,,,,
650,,,,,,,382.466,,,421.5101,489.8865,446.138,194.3792,,,437.4882,
654,,,,,152.6648,,,,,,,,,,,,
655,139.856,,,,,,,,,,,,,,,,
657,,,,,,208.0243,187.7484,,212.5713,,514.6864,,,,,,131.776
661,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,891.5315,805.1154,,,,797.0706,239.9299
664,,,,,,,,,,,,,,,,217.4234,
665,579.4537,,,136.0069,315.7545,,,,,,,,,,,,
666,,,,,,,,,,,,,,,,,
669,93760.69,10264.205,1229.0933,31346.213,52213.02,,,,,,,,,,,,
670,89.1466,,,,,,,,,,,,,,,,
671,109.702,,,,,,,98.7578,,,,,,,,,
672,,237.7998,242.5509,,,,,,,,,,,,,,
673,,,,,,,,,,,219.1039,,,,,,
674,,,,,,3275.5019,3463.2534,4514.1768,2172.7609,,2076.3448,1314.9066,,3172.5781,2868.3484,3761.5296,
676,,,254.8403,,,192.221,,190.4727,,181.0234,,,,,,,
678,,,,,,,,,,501.8025,1384.1224,,,,,,
679,,1067.4545,1572.479,,,,,,,,,,,,,,
681,,213.0486,,,,,,,,,,,,,,,
682,,,,,241.1647,,,,,,,,,,,,
683,,,,,,,,,,,,,,,138.1481,203.939,
684,183.511,,,,,,253.1842,,,,,,,,,,
686,,,,,,,,,,,,,,,,,
688,,,,,,,,,,,,,,,,,
693,806.3839,,,,553.0843,,,,,,,,,,,,
694,,,,,,,,,,,,,,150.8834,,,
696,,,,,,,,,,,,,,,,,
697,,,,,198.2492,,,,,,,,,,,,
700,72.6835,113.7241,81.9192,,,2172.9274,2650.9248,2976.5515,780.2083,863.1658,1589.9076,910.7771,158.1068,3081.4822,3766.1725,4319.9399,576.2956
701,,,,,,289.6585,463.4636,,,,,,,,,401.603,
702,,,,,,420.0514,482.4556,,,,764.94,543.2105,,883.0156,832.3852,1271.5743,
703,,,,,,,,,,,,,,,,274.5983,
705,,,,,,367.5978,399.5673,311.7241,,,,174.0915,,248.5145,,227.6682,
707,,,,,,,,473.6616,,,,,,,,,
708,,,,,105.5268,,,,,,,,,,,,
709,,,,,,,,318.3295,,,,184.7033,286.0871,229.1855,,559.8724,
710,,,,,,,,,,,292.3348,,,264.0343,,459.5246,
712,,,,,,321.0713,,371.9232,,,417.0716,307.8838,,,,321.5097,
713,,,97.1465,,,,,,,,,,,,,,
714,6139.0815,649.4911,,2123.8732,3638.546,,,,,,,,,,,,
715,,,,,,,256.0491,,,,,,,,,152.9693,
717,,,,,,,,,,,,,,228.488,,,
721,292.8103,,,,171.1616,,,,,,,,,,,,
722,,,,,,242.4003,207.634,333.2349,,,,,,,,211.4063,
724,,21.8106,,,,775.6659,769.452,883.2276,223.1606,278.4944,514.8905,332.2378,,852.0712,1124.0659,1428.9664,
727,,,,,,,,,,1916.7506,2046.2393,,20921.5781,,1701.3528,4875.5751,1910.1867
731,,,,,,1604.7393,1385.1802,,595.2632,543.9396,976.7326,685.9992,,2672.0509,2376.4529,2387.5024,185.6539
732,575.1516,,,,,,,753.0717,,,,,,528.4178,,,
735,,,,,,,,415.1626,,,751.647,283.5459,,143.7638,823.7286,633.6609,
736,,,,,,,264.966,,,,221.6348,,,,,219.4324,
738,,,,,,,,,,,230.0015,,,322.685,,,
739,,,,,,370.322,409.6668,309.2396,,,,,,,231.5309,263.2161,
741,,,,,,,202.7733,209.2624,,,186.9622,,,394.5581,,,
743,12173.1023,1382.2476,,4301.2174,6504.8903,,,,,,,,,,,,
745,265.3604,,,,175.347,,,,,,,,,,,,
746,,,,,,,,,,,220.3976,75.7647,2483.9837,140.6803,179.1394,577.026,
747,,,,,151.4707,,,,,,,,,,,,
749,131.6744,,,,50.803,,,,,,,,,,,,
751,,,,,,139.8838,107.4742,,,,,,,229.0354,199.2863,216.8725,
752,,,,,,,,,,,,,,233.933,,,
753,,,,,,,,,,,142.7282,,,,,,
754,,,,,,,,,,,69.1267,,,,65.7132,,
755,,,,,,1156.3072,1103.5844,1102.4873,,,789.3807,,,1552.853,1207.0967,1280.3947,
756,135.6308,,,,,,,,,,,,,,,,
757,1480.3294,,,506.1218,846.9257,,,,,,,,,,,,
758,1243.1868,,,,,,,,,,,,,,,,
760,,,,,,,,185.2108,,,155.607,,,,,329.2293,
761,,,,,,,,,,,173.1018,,,,,,
762,,,,,,,157.5723,,,,,,,138.5952,140.709,,
763,,,,,,376.6593,374.1926,539.593,,443.3706,835.5783,673.1514,,746.8103,601.5145,1170.5397,
764,,,,,379.2814,,,,,,,,,,,,
765,,,,,,401.0368,603.3509,,322.0281,396.708,,,,,,,236.0937
766,,506.2761,536.8598,,,,,,,,,,,,,,
767,,,,,,617.2784,,379.6944,,,432.9904,335.8917,,483.6346,,580.866,
768,,,,,,157.7847,,185.6341,,,,,,97.0363,,,
769,,,,,,258.8199,213.5346,279.2094,,115.9441,395.7839,204.9408,,562.262,497.4749,1026.4051,
770,,,,,,,,183.7479,,,,134.094,,,,367.2401,
771,268.1584,,,,,,,,,,,,,,,,
772,,,,,,,,,,,,,,,,,
773,667.6596,141.6201,,174.3359,389.797,,,,,,,,,,,,
775,,,,,,,,,,,,,,,,,
782,,,,,,,,,,,,,491.1915,,,,
788,,,,,,,,159.9959,,,,,,,,,
790,,,,,,,,,,,,,1758.3634,,,,
793,28279.389,2473.8413,,9045.4582,14270.8955,,,,,,,,,,,,
796,,,,,,338.9472,424.8268,249.7248,,,,,,,,,
797,,,,,,,,212.3274,,,,178.8254,,,,,
799,,,,,,,212.2206,319.3079,,,,,,291.1183,,409.8465,
800,,,,,,2536.3663,2773.3211,2982.5758,3012.112,2712.5562,4460.1131,3211.3232,1168.0883,3274.974,2867.4613,4809.5937,1784.6458
801,,,,,,424.2942,481.4333,564.7002,,,,,,700.4719,380.5566,516.4751,
802,,,,,,,365.8982,,,,,,,,,,
804,,,,,,,,,,,,,,34.6866,,,
807,,,,,,,,,,,,,326.7875,,,,316.3368
809,,,,,,,,162.6679,,,,,,,,498.0535,
810,,,,,,,600.252,,,,712.0399,524.8374,,574.9518,533.1755,,
814,,,,,,1493.9542,1594.4256,1300.2754,,,960.9991,468.2634,,1183.1613,1201.0968,1305.0774,
815,24863.75,2555.0947,,8952.0692,13638.436,,,,,,,,,,,,
817,,,,,,,,7833.7677,,,,,,,,,
818,,,,,,6101.0335,6343.0483,4819.9798,,1823.0131,3422.3328,2329.7189,,3909.3959,3159.7377,3718.843,
820,,353.9318,,,318.7192,,1704.2332,1584.907,1806.7092,1713.8028,1332.1452,1445.4732,,1451.4698,1572.1162,1587.6112,
822,,,,,,,,,,,,,,,,,
824,,,,,,,,,296.6297,528.0109,719.2867,678.9583,,345.8782,339.0526,,
826,,,,,,,,,,,,,,1090.52,926.8771,1167.2044,420.6931
828,3746.154,,,1373.492,2031.5612,,,,,,,,,,,,
830,,,,,,,,,,,,1208.191,,1164.4466,974.7427,,
832,,,,,,,,210.9934,,,,,,,,,
833,,,,,,,216.6954,,,,,,,,,,
834,,,,,,223.9301,184.584,191.8393,,,,,,124.4893,,140.1599,
835,,,,,,246.1605,403.1267,248.4137,164.539,,200.6049,198.1173,,176.8624,,,
836,,,,,,,,,232.52,134.0455,,200.8046,194.0042,,,128.4742,
837,,,,,,,,,,,166.8583,,,,,,
838,,,,,,,204.2021,201.7667,,,,,,,,207.0044,
840,,,,,,138.3424,,115.1322,,,,,,,,,
846,,,,,,,,,,,,,,171.5904,,142.4175,
847,,,,,,,,,,,,,,187.1231,207.1485,,
848,,,,,,,213.9858,592.9015,,,,,,472.5245,539.5606,918.1457,
849,,,,,,,,,,,,,,91.8659,,,
850,,,,,,,475.7212,,,,,,,,,,
851,,,,,,761.2896,826.2113,1037.7058,,,,,,816.2801,741.7478,962.4109,
852,,,,,,328.7083,,,,,,,,,,,
854,,245.8381,,,317.131,,,,,,,,,,,,
855,,,,,,,,,224.7783,,599.5307,438.058,,181.2052,157.6443,,
856,,,,,,,,,,,,,,575.8979,,,
857,,,,,,,,,,,,,,,,231.7834,
859,,,,,,,,,,,149.8175,,,,,,
860,,,,,,212.697,212.9579,,,99.5159,231.0403,,,175.745,,205.6007,
861,350.1432,,,,,,,,,,,,,,,,
868,,,,,,3784.4882,4817.4827,4469.8604,,,3307.1833,,,3259.116,3368.8868,3924.4696,
873,,,,,,260.681,,236.3725,,,,,,474.0534,369.1958,,
875,228.1589,,,,126.1472,,,,,,,,,,,,
879,,,,,,,,,,,,,,,,,
880,,,,,,,,,,,,,,,236.5079,,
881,,,,,,,,,,,,,,,,340.927,
882,,,,96.7934,,,,,,,,,,,,,
884,753.9296,,,,,,,,,,,,,,,,
887,1459.857,,,,,,,,,,,,,,,,
889,,,,,133.6355,,,,,,,,,,,,
890,,,,,131.6062,,,,,,,,,,,,
891,,,,,,,,,,,,,,,1083.6088,,
892,,,,,,196.2428,,,,,,,,,,,
893,935.9011,,,,482.1662,,,,,,,,,,,,
894,,,,,,,,,,,369.8275,,,,,696.4602,
896,5859.9097,,,2011.2742,3243.8108,,,,,,,,,,,,
897,,338.2752,,,239.2603,,,368.7826,367.6767,,,,225.7793,,,,
900,,,,,,172.2234,179.5364,,,,148.7478,,,179.999,,,
901,,,,,,,739.4848,479.8943,,,,,,,,,
904,,,,,,,,250.334,,,,,,,,,
905,,,,,,,273.8574,,,,,,,,,,
906,,,,,,,,,,141.7329,265.8863,183.4181,,,,,
907,,,,,,284.3181,286.9063,208.6092,,,,,,182.9268,174.5136,171.101,
909,,,,,,322.3825,392.0471,346.7619,,,229.6115,,,331.905,329.8919,,
911,,,,,,311.1722,,,,,,,,,,,
912,1046.3491,,,381.1284,588.0987,,,,,,,,,,,,
914,971.9562,,,,,,,,,,,,,,,,
917,,,,,,,,,,,,,,,,93.6999,
921,,,416.1189,,,,,,,,,,,,,,
923,,,,,,,525.6758,,,,,,,,730.8131,201.8309,
924,,,,,,,,,,,,,,,,141.7829,
925,770.6105,,,,,,,,,,,,,,,,
926,1915.2635,571.5231,395.5701,965.2448,1404.2979,,,,,,,,,,,,
928,,1082.7862,1367.2572,,,,,,,,,,,,,,
929,,,260.8639,,,,,,,,,,,,,,
930,,,,,,,,,,,,,,,,,
931,,,,,,,,,420.2002,,,215.1024,,,,,
932,,,,,,,197.9546,,,,,,,246.4512,274.7716,,
933,1189.1084,,,,829.7812,,,,,,,,,,,,
934,,,,,203.3979,,,,,,,,,,,,
935,,190.4274,,,110.1324,,,,,,,,,,,,
936,,,,,,153.8484,,238.4299,,,,,,199.1417,165.6272,257.5768,
937,,,,,,,452.081,371.3062,,,214.4964,,,291.1574,261.2248,,
938,,,,,,474.2549,369.6368,349.7117,,,,,,,,263.8483,
939,,135.286,,,,,,,,,,,,,,,
940,,,,,,526.0866,538.9586,675.4661,,,,170.5967,,451.5314,422.6329,541.4777,
941,,,,,,682.4233,730.1654,915.3107,364.704,,220.0455,,,412.797,413.7501,485.4948,
942,,,306.6515,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,
944,,,,,,1924.8193,2157.2536,2300.7322,,,1471.4569,,,2234.8569,1932.364,2468.7349,
945,1905.3721,,,,,,,,,,,,,,,,
946,,,,,,,,,,,,,,,64.902,,
947,,217.4663,223.3142,,200.7329,,,223.7546,,,206.1257,,,216.3406,,,
948,1570.4813,,,,,,,,,,,,,,,,
949,,,,,,7427.8729,8625.1793,9631.2987,1697.6074,8059.7666,16321.199,10905.2637,735.7188,17301.7273,16598.8413,22389.2197,
950,,,,,,1824.4145,2042.9456,2504.249,,,,,,1289.904,1222.7176,1594.4276,
951,703.3225,,,,,,,,,,,,,,,,
953,,82.6731,,,,,,,,,,,,,,,
955,,,,,,,979.076,,,,,,,,,,
956,,,,,,,,,,,,,,,,,
957,,,,,,,,,,334.8369,,,158.6422,,,373.3674,
958,,,,,,354.7606,,504.7119,,158.8584,295.9852,,,386.4594,259.069,386.6136,
959,,,,,,,,163.0932,,,167.3875,,,,,,
960,1378.1302,,,,821.09,,141.1245,165.6778,,,,,,,,,
961,,,,,,238.5176,280.7251,404.7295,,,562.6322,,,575.2464,447.832,1037.1087,
962,,,,,,,,129.8228,,,,,,195.3023,171.0581,,
965,,,,,,369.2729,,348.6068,,,379.0206,369.7535,,327.1272,377.9953,,
966,,,,,,,,,,,332.4393,,,,,,
968,,,,,67.3748,,,,,,,,,,,,
969,,,,,,,,,,,,161.8359,,,,,
971,,,,,,241.4645,300.9086,,,,,,,,,,
972,,,,,,,266.2899,238.1781,,,,,,167.0187,,,
976,,,,,,,,,,,,,,,,,
977,,,,,,,,113.2645,,,,,,,,,
980,11072.881,1726.8413,,4063.3032,6481.156,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,173.4151,
983,99622.1,11686.89,,33100.6138,55217.062,,,,,,,,,,,,
984,189.8512,,,,,,520.3088,,,,,,,172.9964,,,
985,,,,,,,325.9786,,,,,,,,,,
986,,,,,,154.262,499.1173,286.8189,,,,,,,,103.7886,
989,,,,,,,,,,,,,,,,,
990,,,,,,,142.303,,,,,,,,,,
992,,,,,,,,,,,,,,,,,
993,1050.919,118.9293,,,668.5762,,,,,,,,,,,,
995,249.6695,,,,,,,,,,,,,,,,
997,30429.443,2971.748,,10033.2987,16075.573,,393.6662,,,,,,,,,,
998,,,,,,1497.9725,,1535.9459,,404.09,753.131,,,2793.2941,2397.301,2646.7561,
999,,,,,,,,,,,,,,,309.2704,,
1000,,,,,,554.9642,,,,,,,,,,727.9534,
1002,,,,,,375.147,,,,,,,,,499.4667,650.6988,
1008,,,,,,209.8052,,357.2357,114.924,,283.889,,,287.6914,,,
1009,,,,,,400.8141,,422.7227,,,,165.4022,,453.6318,376.7828,532.5002,
1010,,,,,,,,,,6.8382,,,,,,186.8821,
1016,,,,,,220.732,197.9273,,,275.8445,452.2995,353.2251,,,261.5271,,
1017,,,,,,,,,,,,,,,,,
1018,,,,,,,,,,,,,,,187.1119,227.1127,
1021,,,,,,,,,,,,,,,,273.7011,
1022,,,,,455.9656,,,,,,,,,,,,
1023,,,,,,,,805.8737,,,,,,,,,
1026,1538.8369,193.0792,,441.0289,765.2454,,,,,,,,,,,,
1028,,,,,,,,,,306.0994,,376.9851,,,,,
1033,,,,,,,1066.7661,433.6637,,151.1381,982.3332,326.5728,,,1365.7286,737.2454,
1034,1121.5022,248.8795,,497.6986,657.5928,,,,,,,,,,,,
1035,,,,,,1763.7544,1719.5014,2989.8921,2190.6347,3348.2602,5269.4716,3776.7606,1660.9796,2971.1723,2589.2076,3794.147,1585.3152
1036,,,,,,489.138,472.3153,,195.9834,,393.381,356.7991,,,,466.2526,
1038,,,,,,,,,,,,,,,,225.0205,
1039,,,,,,,,285.1596,127.2833,173.483,,,,,,,
1040,67.9579,,,,,,,,,,,,,,,,
1041,,,,,,133.2672,191.223,157.8819,,,,,,,,205.0006,
1042,,,,,,,202.6922,,,,188.895,,,234.9652,,341.2045,
1043,,,,,,,,110.9928,,,,,,,,,
1044,262.7845,,,,,,,,,,,,,,,,
1045,17548.205,1742.6368,,4625.6493,9330.91,,,,,,,,,,,,
1047,29954.1564,4510.6574,3083.6444,13180.1574,17011.8584,2825.5307,3444.6497,3163.1219,2778.0708,2938.1789,3009.3105,2778.1196,3532.2019,2759.0657,3292.1287,4319.9781,3302.2892
1049,,,,,,,,391.476,,,,,,,,,
1051,,,,,,272.0583,288.1204,,,,357.2772,285.4769,,,,,
1052,,,,,271.3869,,,,,,,,,,,,
1053,,,,,,477.3815,,,,148.1849,,,,515.5551,491.3704,,
1058,,,,,,,,,,1163.6659,,1874.4139,,,,,
1059,,,,,,4003.6911,4342.576,4468.7507,,3917.3029,6124.6354,5236.1852,845.4534,4724.6714,4301.0632,5187.3332,
1060,513.9035,130.6691,,258.9964,519.9142,,,,,,,,,,,,
1061,,,,,,,,,,,,,,,,,
1062,,339.0114,,1526.3222,,,,,,,,,,,,,
1066,,,,,,,,,,,280.4028,,,,,,
1069,,,,,,,,178.3671,,98.1277,,,,135.1887,,,
1072,,,,,,,,,,,,,196.7145,,,,197.065
1075,,,,,,,,,,,,,,,,,
1076,,,,,,,,161.0883,,,,,,,,,
1080,,,,,,345.0035,334.3078,342.7513,,,,,,317.1951,295.5699,348.4461,211.6643
1084,,130.4134,324.9463,,,,,,,,,,,,,,
1085,1183.4276,174.9983,,213.7389,614.8751,,,,,,,,,,,,
1086,972.6176,,,,533.4192,,,,,,,,,,,,
1089,215.7954,,,70.4206,114.2638,,,,,,,,,,,,
1090,,,,,,813.3249,,,413.8481,,,,,,,,
1097,353.6679,,,,266.276,,,,,,,,,,,,
1098,,,,,,,,732.2645,,,1017.9021,849.6502,,,,,
1100,,,,,,,,,,,,,,,,,
1101,134.2691,,,,,,,,,,,,,,,,
1103,,,,,,,,,,,,,,,691.4387,725.1158,
1114,,,,,,,,,,,,,,,267.9678,,
1118,,,,,,300.8324,,187.4671,,,,,,,,,
1119,,,,,227.759,,,,,,,,,,,,
1121,,,,,,,210.6781,209.3848,,,303.386,,,222.2911,,228.0782,
1123,766.8648,,,,373.4423,,,,,,,,,,,,
1130,1054.9905,,,,673.9746,,,,,,,,,,,,
1131,,,,,,,,101.0868,,,,,,115.4776,,,
1134,302.0944,,,,,,,,,,,,,,,,
1137,687.9891,,,,,,,,,,,,,,,,
1140,,,,,,872.2697,749.5402,818.9785,,668.1227,1030.1366,859.5285,,861.5447,1069.2207,1395.3535,
1141,,,,,,242.6441,,254.3333,,,263.6893,214.5565,,,,,
1144,,,,,,,,,,,,198.6243,,,,,
1146,,,,,,201.8175,247.3828,,,,,,,197.7059,217.9492,388.5248,
1148,,,,,,,249.1776,177.914,,,,,,,,,
1149,,,,,,328.7742,366.6991,299.7643,,,,,,288.9103,,258.2342,
1150,,895.2215,1075.5948,,711.9463,,,,,,,,,,,,
1154,201.2472,,,,,,,,,,,,,,,,
1157,,409.1309,,,,,,,,,,,,,,,
1158,,,824.9295,,,,,,,,,,,,,,
1159,,,,,,,,,242.7422,,345.8209,,,534.7763,454.2136,,
1163,,,,,,182.8776,181.9177,211.96,,137.1974,300.8033,,,320.8055,,,
1165,372.0515,,,,,,,,,,,,,,,,
1166,358.0826,,,149.1862,308.0926,,,,,,,,,,,,
1167,,,195.3959,,,,,,,,,,,,,,
1168,,,,,,,,,,330.4508,461.527,411.8339,,,325.2495,456.4468,
1169,26644.484,2436.0845,,7643.1309,13344.376,,,545.422,,,388.3758,301.7284,,425.8318,383.463,547.7866,
1171,,,,,,,,,,,,,,,1079.8998,1367.5418,
1172,,,,,,632.1453,651.4642,418.4235,,,508.9587,271.7415,,,440.2087,,
1173,,,,,,255.1937,261.0052,236.2253,,129.5453,244.6878,165.8939,,319.9186,,290.236,
1174,,,,,,301.7015,327.0752,417.0922,,,,,,360.8805,331.2815,,
1175,,,,,,345.8157,,,,,502.08,,,,965.9187,2048.3183,
1176,,,225.4838,,,,,,,,,,,,,,
1180,,,,,,569.7231,669.6988,421.8353,,130.4902,,,,,,,
1181,,,,,,,,,,,74.1324,,,,,,
1184,,,,,,,,,,,,,,,92.9691,,
1186,,,,,,157.5997,155.1069,215.2258,,,,,,,158.8591,,
1191,159.1411,,,,,,,,,,,,,,,,
1192,886.3152,,,267.2529,622.1238,,,,,,,,,,,,
1193,,,,,,2953.198,2596.8097,3419.7899,1205.5404,868.1525,1743.8272,1199.8068,,5067.6807,4471.6477,4581.4774,
1194,,,,,,1389.8068,1482.295,2024.7732,717.5125,,735.3111,473.4392,,1160.0658,1188.9602,1696.2349,
1195,,,,,,,,353.4522,,,,,,,,,
1196,,,,,,,,314.0293,,,220.5204,,,,,,
1197,,,,,,,,,,,,,,,,181.9503,
1199,,,,,,,,,,,,,,,,188.1417,
1200,,,,,,675.693,787.7357,896.7651,,,,450.0046,,,676.3642,722.9178,225.969
1201,,,,,,765.1099,831.6236,779.0383,,417.158,,647.4948,,,508.9269,765.3799,
1203,,,,,,,,,,,,,,,210.6266,,
1204,,,,,,,,178.1383,,,,,,,,,
1206,,,,,,,,,,,,,,,,,
1207,944.9265,,,243.4369,581.663,,,,,,,,,,,,
1210,366.7866,,,,174.3202,,,,,,,,,,,,
1211,,,,,,,,,,,,,,,,,
1213,,,,,,,,,,,,,,406.4436,,484.7673,
1214,,,,,,,,,,,,,,,,,
1216,,,,,,,,123.5104,,,,,,,,,
1217,,,,,,,,,,,,,,,245.493,,
1219,,,,,,,,,,,,,,,,330.4054,
1221,,,,,,,,,,,,,,,,92.5844,
1223,,,,,,1846.3716,,17624.1907,,,,,,2956.9211,,9286.3353,
1224,,,,,513.3472,,,,,,,,,,,,
1228,,,,,,,190.3819,,,,,,,,,,
1229,,,,,,,372.1731,556.1157,,,213.407,,,,,,
1230,,,,,,459.7044,622.6806,522.646,309.2487,309.2994,415.636,614.6033,,419.5518,267.2839,666.5665,
1233,,,,,,429.5361,288.1918,379.1831,,194.0615,,208.0578,,,573.194,659.3661,
1234,,,,,,467.7186,514.8268,498.5627,,,,325.6903,,483.3589,461.2059,,
1235,,,,,,,,515.1044,349.5394,,,,,239.6768,175.3709,328.4604,
1240,870.5419,,,155.9004,,,,,,,,,,,,,
1242,,,,,,,740.6556,,,,,,,,,,
1243,,,,,,207.8791,280.0833,,,,,,,,,,
1245,,,,,,,,,,,36.2864,,,,,,
1251,,,,,,,,,,,,,,,257.8636,,
1254,,,,,,,,,,,139.3418,,,,,,
1255,1466.0345,132.7009,,513.4224,835.9949,,,,,,,,,,,,
1257,187.4938,,,,,,,,,,,,,,,,
1259,,,,,,,,,,194.4148,,323.345,,,,,
1261,,,,,,213.1968,,,,,,,,,,267.545,
1265,,,,,,419.882,425.3891,272.3242,,,,,,,,,
1266,,,,,,194.0556,,,,,,,,,,,
1267,,,,,,,,,,,,,,192.9256,,300.2939,
1269,,,,,,,,366.2064,,,,,,,,,
1270,496.4022,,,1608.65,274.0812,,,,,,,,,,,,
1271,,,,,,2392.4837,2865.3607,2381.9794,,,,1276.0951,,2693.1645,2001.7354,2138.7334,
1275,,,,,,,,,484.36,,,,,,,,
1278,,,,,,23046.8933,25338.3873,30922.6037,9772.8883,7256.1295,13465.413,8653.8867,666.6206,24323.8067,24024.0333,29051.4287,2107.3483
1280,,,,,,,,,,,,,,,,,
1283,,,,,,300.8388,,,,373.2456,601.3076,531.992,,,121.1402,,
1288,,,,,,154.6304,,,,,259.3383,,,,,,
1290,,,,,,,,,,,,250.027,,,,,
1297,,,,,,,,,,163.3744,,,,,,,
1300,,,208.393,,,,,,,,,,,,,,
1302,,,,,,368.3211,,,,,,,,,,,
1306,,,,,,,,,,,,,,69.9946,,,
1307,,,,,,,,138.6241,106.1773,,,,,,,,
1308,,,,,,,,,,,,,,,1565.7264,1978.4763,
1314,,,,,,6827.7735,7147.9972,7641.5223,9161.6027,7138.8755,10083.7717,8975.9012,,8033.9438,7243.1876,8972.9395,
1316,,,,,272.386,,,,,,,,,,,,
1319,522.5552,,,,,,,,,,,,,,,,
1321,,,,,,,,,,,,,,,,,
1322,,,,,,,,,,299.9821,,,,,,,
1323,,,,,,279.7751,238.1673,306.0398,,,,,,291.575,,,
1324,,69.9962,,,,,,,,,,,,,,,
1325,,,,,,163.7203,,,,,,,,,,,
1327,,,,,,,,,,,,,,187.786,,,
1328,,,,,,,,,,,,,,,,,
1329,,,,,169.1816,,,,,,,,,,,,
1330,,,,,,,,,,,,,,,,,
1332,,,,,,,,,,,,,,,,,
1333,,,,,,,279.3793,,,,,,,,,626.3763,
1337,,,,,,,,,,,2002.8514,,,,1246.5808,,
1338,,,,,,,,,,,2461.5446,2076.0217,,,,2100.0917,
1340,496.4268,,,,,,,,,,,,,,,,
1342,,,,,,,,447.9966,,610.7584,473.3003,,574.8999,470.8407,,,
1344,,,,,,,,,,,,,,470.5922,,,
1345,,,,,,,146.4366,,,,,,,,,,
1346,,,,,,285.2653,,497.1163,,113.589,,,,,,607.7023,
1350,,,,,,,252.5899,,140.2087,,372.5219,310.9311,,,,312.5303,
1351,,500.3116,,,191.7572,,,,,,,,,,,,
1354,,,,,212.9219,,,,,,,,,,,,
1356,1807.2266,,,,953.7763,,,,,,,,,,,,
1358,470.4211,,,,255.0468,,,,,,,,,,,,
1360,,,,,,,95.3728,,,,,,,,,,
1361,,,,,,,,,,,424.2945,378.8825,,,,,
1362,,,,,,,,265.7005,,,376.9044,,,,,330.9985,
1363,,,685.493,,,,,,,,,,,,,,
1366,,,,,,820.0293,1155.4522,,527.4629,740.1664,981.739,866.0815,483.2444,668.9756,,860.9562,436.9021
1368,,,,,,248.0685,297.8714,238.4266,,,,196.0635,,,350.4473,509.8603,
1369,,,,,,,,,,,,,,139.7556,,,
1371,,,,,,639.564,561.9712,825.2201,206.7637,,408.439,,,562.2386,378.4413,685.6698,
1372,1019.5038,,,,,610.2006,729.8354,875.6283,,328.5461,,,,,,,
1375,,,,,,959.8338,1164.8532,617.4361,,,155.6893,,,,,314.1815,
1376,,,,,,,331.434,,,251.2282,433.3986,285.6772,,412.3262,,590.6694,
1377,,,,,,,546.3468,311.607,,,,,,,,170.5629,
1378,,,,,,467.7421,507.1281,1146.5417,665.1282,,378.5611,202.6962,,435.0421,515.8198,485.4784,
1379,,,,,,,,,,,,,,,,,
1380,,,,,,241.7107,,,,,366.9142,,,340.881,371.9942,506.8315,
1381,,,,,,841.4365,616.1969,693.4872,,199.8549,431.1475,,,556.7019,,,
1383,426.6736,,,,,,,,,,,,,,,,
1384,,,,,387.0795,,,,,,,,,,,,
1385,,,,,,,,,,72.4628,94.6223,,,,,,
1386,,,,,,,323.1269,,,,227.4228,118.5893,,,,,
1392,,,,,,,,,,,389.3031,,,,,,
1394,,,,,,330.2461,,391.238,,,,253.7446,,,327.982,328.3872,
1395,,,,,,969.0835,972.5935,1136.9071,314.8841,1006.5336,1514.8143,1093.5789,,,1164.8976,,167.6238
1396,,,,,,345.3254,,,147.8413,,304.1679,,,287.9764,,,
1398,,,,,,,291.7845,360.7285,,369.7193,647.2184,561.5514,,325.0147,,466.6168,
1400,,,,,,,135.2764,,,,138.0232,,,221.4358,156.9002,,
1401,414.2554,,,,193.5909,,,,,,,,,,,,
1402,,,,,,764.1194,645.7892,817.8459,,625.9706,1072.4346,815.8248,,776.4104,775.4661,1210.719,
1406,,,,,,,,,,,,,,,,685.1044,
1410,,,,,,266.0182,314.2266,,,,,,,,,,
1412,,,,,,,163.595,,,,,167.7888,,,,,
1413,65.962,,,,44.4758,,,,,,,,,,,,
1415,35181.918,3623.924,352.4251,11089.4242,19341.791,,,,,,,,,,,,
1416,,,,,,,,,,,,381.8865,,,,,
1421,,,,,,,299.7712,,,,,,,,,,
1424,,,,,149.7771,,,,,,,,,,,,
1425,,,,,,,280.6553,,,,329.7969,,,,,,
1426,277.3765,,,,161.2822,,,,,,,,,,,,
1432,,,,,,,,,,,,,,,,,
1433,,,,,,,,,,,,,2108.4479,,,,
1434,252.7694,,,,,,,,,,,,,,,,
1435,,,,,,845.8959,821.2633,970.923,461.3406,381.1766,671.5386,551.903,,507.4268,442.2339,785.945,
1436,,,,,,402.0138,471.2469,515.5473,,,575.399,,,507.2528,,,
1437,,,,,,475.9387,593.7414,,193.3838,,411.0689,,,668.7675,455.7668,1319.8614,
