Feature ID,BlankSub Mean 45_T,BlankSub Mean 46_T,BlankSub Mean 47_T,BlankSub Mean 48_T,BlankSub Mean 49_T,BlankSub Mean 50_T,BlankSub Mean 51_T,BlankSub Mean 52_T,BlankSub Mean 53_T,BlankSub Mean 54_T,BlankSub Mean 55_T,BlankSub Mean 56_T,BlankSub Mean 57_T,BlankSub Mean 58_T,BlankSub Mean 59_T,BlankSub Mean 60_T
3012,197185.3333,157808.3333,229611,1295192,838466.6667,593536.3333,7480695.667,903433.6667,976298,415728.3333,854210,263858.6667,6288694.667,661936.6667,1688551.667,922249.6667
360,176157.1667,,48773.1667,,130029.8333,183829.5,211967.1667,177943.5,299831.8333,205682.8333,190024.1667,145807.5,189843.5,196019.8333,165874.5,185865.1667
189,,,467774.6667,,966643.6667,,442735.3333,,534871.6667,438475.6667,764575.6667,525444,,,681208,434085.6667
4272,78534.3333,,,,25822,33751,27409.3333,26483,19772,,,,,,,
1203,,,,139733,,,,,,322064.3333,,373912.5,346759.5,,,
919,709219,,,143860,908485.6667,542734,516638.3333,508777.3333,804447,686958.5,846639.3333,726154.3333,1220168,706527,643478.6667,783396.6667
1443,230316.6667,223051,189606.6667,244892.6667,255410.6667,254055,317880.6667,233185.3333,172109,119571.6667,135063.6667,125749,154773.3333,144668.6667,157041,143707.3333
1256,91918.6667,103287,61966.6667,67580,158585.3333,163322.6667,165422.6667,128252,173289,129351.3333,157480.6667,181486.3333,160686.6667,186251,146817,132368.6667
1629,141850.6667,,97562,64609,200613,241370.6667,265497.6667,153859.6667,232040.3333,195435.6667,214102.6667,192574.3333,198198.6667,226195,216042,193969.3333
4178,90172,,,,36153,64420.5,,,,,,,,,,
4714,67805,,,,,19101,,,,,,,,,,
3553,174943.3333,,70608.3333,34981,225630.3333,300071.6667,225859.3333,193374.3333,182745,74882,65301,48423.6667,28023.3333,67863.3333,45664.6667,97600.6667
3771,11942,,,,195594.6667,68100,194464.3333,92520,113341.3333,61654,,,179648,48518,32645,99945.3333
3435,245905.6667,174432.6667,149045,192709,371284.6667,354935,320511.3333,311368.6667,298411,211121.6667,249492.6667,331006.3333,288025,297671.6667,229463.3333,245642.6667
2771,93441,24331.3333,25187,19253.3333,46402.6666,67199,50722.6666,37658,31160.6666,29114.6666,26689,32494.6666,32162.3333,24151.3333,15682,23551.3333
79,,1058.5,39543.8333,11050.8333,,,,,,,69697.8333,,,,,
410,163233.1667,176666.5,105834.1667,120104.5,134066.1667,193669.1667,136117.5,100523.1667,89806.8333,96665.1667,90575.1667,83514.1667,120176.1667,101466.5,94357.5,113888.8333
1241,,29184.5,52858.6667,44612,,,45028,,,,,,55208.3333,,,
1550,100535,,79806,44148.6667,162712.3333,147815,198626.6667,162230,271637,206732.6667,222643.3333,162351.6667,181147,207657.3333,182359.3333,222017.6667
4140,64983.6667,,59749.5,28596,116386.3333,126166.3333,99118,107175.3333,65246,65812,63698,81491,73372.3333,62307.3333,62600.6667,70934
4304,44411.5,,32470,36284,38940,70796,,41800.6667,28002,23011,25198.3333,34555.3333,37438.3333,25629.6667,40619,28238
1844,,,,,,204486,,119845.6667,,,135282.3333,,,,113519.3333,
1611,122669.3333,,,37634.6667,179197.6667,227470.3333,246989.3333,163041.3333,196442,159792.6667,188615.3333,143114.6667,191600.6667,171317.3333,203376.6667,139540.3333
3691,,,,,,,221123,,43400,,,,,,,
3632,30437,,,81866.3333,115512,284463.6667,86576.6667,93948.6667,30817,36920,27562,49235.3333,,56460.6667,43088.3333,73922
1642,,,,,111037.1667,108648.5,127728.8333,,105493.5,,,,,,,
1801,117089,,80072.3333,53115.6667,159329.6667,203620.3333,210139.6667,119825.3333,178605.6667,150007.3333,165200.6667,156406,153807,181381,181726.6667,153585.6667
3699,66399.6667,,,39303,,,30086,27713.6667,,,,,,,,
996,96126.3333,,,481470.3333,,38351,,,,,,,,,,
3445,97559,,120578.6667,151099,285671.6667,450127.3333,194072,167735.5,97736.3333,,36439.6667,156051,71239.6667,,92820,
953,,,,,,,34192,,817140,676123,,,,346468,,153324.5
1420,182635,,,55232.6667,216632.6667,317918.3333,320856,191881.6667,238812.6667,211851.3333,196552.3333,169776,244860.6667,278728.3333,229897.6667,142611.6667
2718,,,,,,,,,,,32975.6667,,,,,
75,1040461.833,,980929.8333,1272783.167,,910526.8333,,,,,,,,,,
90,437882,340484.3333,380055.6667,446167.3333,361241.3333,566351,435715.3333,344630,1671259,725775,1350337,1340985.667,493131.6667,268380,812783,1066969.333
256,114412.3333,59393.3333,79936,113196.3333,50391.6667,120887.6667,78720.3333,73250.3333,446496,158002,325103,363747,98683.3333,42327,184852,222934.3333
972,401584.6667,,,177240.3333,660621.6667,852821.3333,905790,513881.6667,769848.6667,603174,699439.3333,634806,641279.3333,822163,738644.6667,616672.3333
1480,176418.6667,,124487.3333,65802.3333,249876.3333,281683.6667,317249.3333,205468.6667,275496,221378.6667,246774.6667,202861.6667,255608,257635.6667,264560,194782.3333
180,225673,,129618.6667,40096,390448.6667,402070.6667,564202,385434.3333,721118.3333,572729,542625.6667,416254,503711.6667,542061,488709,483957.3333
1227,231066,,,106414.3333,328874.6667,387914.6667,344100.6667,320626.6667,190486.3333,154374.6667,262337.6667,281907,189853.3333,200359.3333,293695,175081.6667
121,,,,52784.3333,,,,,,,,,,,,
141,339916.5,165616.5,152467.8333,587108.8333,101263.8333,352236.8333,,,,,,,,,,
2704,369414.5,385873.5,375732.5,337307.1667,320789.1667,246740.5,262409.1667,202707.1667,301045.8333,331370.8333,445834.5,369141.8333,372991.1667,359436.1667,439932.1667,332707.1667
2780,290267.5,376538.5,339866.5,381489.5,,169714.8333,269600.5,105475.5,67609.1667,,115463.1667,,326695.8333,,177873.8333,87608.1667
2751,369393,385944.6667,375676,337285.6667,318080.6667,199681,262572.6667,202685.6667,298821,331349.3333,432063.6667,369120.3333,366746.6667,360222.3333,439910.6667,332685.6667
2774,98424.1667,293624.8333,,283713.5,,64319.8333,74424.8333,83415.1667,108197.8333,108559.8333,292547.5,146960.8333,,214892.5,,117095.5
4074,92805,,65096.5,,99793.6667,134928,137349.6667,85852,106999.3333,96603.6667,100200.6667,88924.6667,123322,114527.6667,82841.3333,87495
759,,,,,,,25740,,112972.6667,67834,38698,,3090742,,46628,
3991,20037,,,,77097.6667,,154405,54019,90150.6667,61266.6667,56177.6667,,91247,46329.6667,48212.5,98208.3333
4253,81175.3333,,,,,29925.3333,,,,,,,,,,
4871,65284.5,,,,22170,26003,43251.6667,,,,,,,,39099.5,
1519,,,,,,,,,,,,,258595.5,,,
2915,24352.6666,68440,45033,63271,16750.6666,39123.6666,12478.6666,,,,,,,,,
1167,395738.6667,408007,469176,398687.6667,386855.6667,489672.3333,510884.6667,443929.6667,412034.6667,339995,443780.6667,381837,391266.6667,395549,374914.6667,375615.6667
3238,369742.3333,,254589.3333,248829.3333,615332.3333,696213.3333,726687,505830,564608.3333,440461.3333,507569,603299.6667,,642737,483022,411968.6667
2778,38552.6667,30009.3333,32142,23060.6667,106133.3333,103026,78630,57725.6667,55704,50848.6667,62560,67458,54469.6667,31279,39476.3333,51208.6667
4125,58782.6667,,45231.6667,26802.3333,93647.6667,122253.6667,122889,78781.6667,58931.3333,55621.6667,67360,61255.3333,61401,67684.6667,87092.3333,52438.3333
4841,36635.6667,,23265,25650.6667,69072.6667,64933.3333,37181,61435,57852.3333,32165.3333,66843.3333,61427.6667,61689,67020.3333,63530.3333,50081.3333
3748,102409.6667,,75657.6667,53350.6667,182529,154019.6667,203091.6667,94362.6667,78347.6667,72013,80210,105463,126872.6667,70261.3333,102774,99239
4585,,,,,,,52800.3333,,24308.3333,22201.6667,24664,,,36270,26387.5,37587
4839,28462.3333,,,36406.3333,,,,,,,,,,,,
3649,22370.5,,,,,,,,,,,,256983,,,
1732,83981,162575.5,,31744.3333,125677,137280,159476.3333,93637.3333,140320,111597.6667,128016,112374.6667,238599.6667,139140,133424.3333,141509
