Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_,BlankSub Mean Pooled_
1071,,196.6976,,,,,,,194.576,194.9915,,,186.7378,,,,,
1072,,,,,,,,,159.1805,,,157.5686,217.8982,,,,218.2487,
1073,,,,,,,,243.0203,,,,,,,,,,
1075,,,,,,,,,,,,,,,,,,4020.0948
1076,,,,,,,,162.0883,,,,,,,,,,
1080,,,,,114.8227,361.8659,351.1702,359.6137,164.3626,,123.0705,98.1258,,334.0575,312.4323,365.3085,228.5267,
1084,,131.4134,325.9463,,,,,,,,,,,,,,,
1085,1184.4276,175.9983,,285.9852,615.8751,,,,,,,,,,,,,1072.997
1086,973.6176,,,,534.4192,,,,,,,,,,,,,
1088,,,,,,,,,,,,,,,,99.912,,
1089,203.2989,,,,,,,,,,,,,,,,,269.6982
1090,,,,,,814.3249,1497.5474,842.8715,414.8481,462.3568,1427.1776,667.1065,,541.2995,882.2422,,,541.3021
1093,,,,,,,,,,328.2073,,,,,,,,
1096,,95.4841,,,,,,,,127.2204,144.7516,,,109.8888,,,,
1097,384.7288,121.9535,107.2523,,297.3369,,,,,,,,,,,,,276.5784
1098,,,,,,,,733.2645,,,1018.9021,850.6502,151.899,820.1523,743.6184,820.6654,,
1100,,,,,,,,250.6776,,,,,,,125.7342,,,458.7934
1101,135.2691,,,,,,,,,,,,,,,,,
1103,,,,,,749.1801,850.0596,918.185,,,549.3647,,,685.6884,692.4387,726.1158,,352.0441
1104,,,,,,,,,,,,,,197.2606,,,,
1107,,,,,,,87.5814,,,,,,,,,,,
1109,,,,,,,584.5168,685.5766,,,,,,,,740.824,,
1110,,,,,,,77.8563,,,,,,,,,,,
1112,,,,,,,105.2219,,,,,,,,,,,
1113,,,,,,,,110.9784,,,,,,,158.9776,192.6902,,
1114,,,,,,,,,,,,,,,268.9678,,,
1116,,,,,,,,248.7914,,,,,,,,,,
1118,,,,,,301.8324,,188.4671,,,,,,,,,,
1119,,,,,228.759,,,,,,,,,,,,,1306.5496
1120,,,,,,125.868,,,,,131.2766,,,,143.7979,178.3447,,
5159,,,,,,,,,,,,,,1721.7454,,,,
1121,,,,,,210.7172,211.6781,210.3848,,201.098,304.386,266.6572,,223.2911,230.247,229.0782,,132.8734
1123,767.8648,,,,374.4423,,,,,,,,,,,,,656.4357
1124,,,,,,,,,,,242.729,,,,,370.037,,
1125,,,,,,,,,,,,,,117.3084,,,,
1126,,,,,,,,124.1664,,,,,,153.8749,123.5073,,,
1129,,,,,,,,,425.8824,,,,,,,,,
5160,,,,,,,,,,,,,,215.4888,,,,
1130,1055.9905,,,,674.9746,,,,,,,,,,,,,
1131,,,,,,,,102.0868,,,,,,116.4776,,124.093,,
1132,,,,,,,,227.8908,,,,,,241.1701,,,,
1134,303.0944,,,,,,,,,,,,,,,,,
1135,,,,,,232.4397,,309.1816,,,,,,,237.0087,241.6355,,
1136,,,,,,,193.6512,168.4849,,,,,,,,,,
1137,688.9891,,,,,,,,,,,,,,,,,506.0297
1138,,,,,,,,,,,,,,,,171.0864,,
1139,,,,,,,,,,,,,,,,227.8059,,
1140,,,,,,873.2697,750.5402,819.9785,637.7742,669.1227,1031.1366,860.5285,,862.5447,1070.2207,1396.3535,409.9546,308.2526
1141,,,,,,243.6441,281.5666,255.3333,,133.6838,264.6893,215.5565,,276.8885,269.0819,257.7547,,
1142,,,,,,,245.4723,275.4166,,,219.3142,,,,365.0045,,,
1143,,,,,,,,,,282.678,456.492,331.23,,,,,,
1144,,,,,,258.4796,338.1959,,,,313.8475,199.6243,,207.3689,,,,
1146,,,,,,202.8175,248.3828,200.7026,,,,,,198.7059,218.9492,389.5248,,
1148,,,,,,177.893,250.1776,178.914,,,,,,,182.3244,,,
1149,,115.0695,,,96.4913,361.0488,398.9737,332.0389,138.3034,,283.9702,,139.5642,321.1849,290.8831,290.5088,,201.3433
1150,,1037.7308,1218.1041,,854.4556,,,,,,,,,,,,,
5161,,,,,,143.4676,,138.2487,,,,,,,,,,
1153,,,,,,,,166.153,,125.3837,,216.9801,,222.3536,,,,
1154,202.2472,,,,,,,,,,,,,,,,,
1157,76.7775,434.0629,,,,,,,,,,,,,,,,
1158,,,712.6616,,,,,,,,,,,,,,,
1159,,,,,,,,,243.7422,,346.8209,,,535.7763,455.2136,577.7812,,
1163,,,,,,183.8776,182.9177,212.96,,138.1974,301.8033,253.3964,,321.8055,237.9265,404.3481,,
1164,,,,,,,,156.144,,,,,,,,,,
1165,373.0515,,,,,,,,,,,,,,,,,
1166,359.0826,,,199.9149,309.0926,,,,,,,,,,,,,
1167,,,216.8081,,127.1753,,,,,,,,,,,,,
1168,,,,,,514.7702,,408.1562,,331.4508,462.527,412.8339,,,326.2495,457.4468,,176.2456
1169,26645.484,2437.0845,,7644.1309,13345.376,,886.1847,546.422,184.0181,257.5099,389.3758,302.7284,,426.8318,384.463,548.7866,,25707.2158
1170,,,,,,,,,,,,,,,,100.1358,,
1172,,,,,,633.1453,652.4642,419.4235,,,509.9587,272.7415,,,441.2087,595.2556,,240.8685
1173,,,,,,,262.0052,237.2253,55.116,130.5453,245.6878,166.8939,,320.9186,201.6046,291.236,,118.2228
1171,,,,,,,,,,,617.3097,407.0221,,1255.4419,1080.8998,1368.5418,,
1174,,,,,,302.7015,328.0752,418.0922,,152.2027,225.8004,170.4853,,361.8805,332.2815,449.2091,,
1175,,,,,,346.8157,365.598,,,293.8517,503.08,303.4371,,1083.3461,966.9187,2049.3183,,321.3427
1176,,176.9768,267.1116,,135.6281,,,,,,,,,,,,,
1179,,,,,,,157.3315,,,,,,,,,,,
1180,,,,,,570.7231,670.6988,422.8353,,131.4902,227.8614,,,,,,,
1181,,,,,,,49.5986,79.1776,,,75.1324,,,75.6941,,,,
1183,,,,,,,,,,,,,,,81.5689,,,
1184,,,,,,,,95.3391,,,,,,,93.9691,,,
1186,,,,,,158.5997,156.1069,216.2258,,,65.5766,56.3141,,171.3476,159.8591,173.6351,,84.8078
1187,,,,,,43.6072,,,,,,,,,,,,
5162,,,,,,,,,505.3852,,,,,,,,,
5163,,,,,,,,,,,,,,,,,,715.0663
5165,372.3147,199.2531,271.6182,,332.2761,238.5115,,215.9898,,,,170.5521,311.2649,,276.0027,,,389.2136
1188,,,70.6213,,,,,,,,,,,,,,45.6307,
1191,160.1411,,,,,,,,,,,,,,,,,
1192,926.2642,,,409.2692,662.0728,327.7971,,,361.394,320.7852,,347.9362,,,,431.8362,,1792.6744
1193,,,,,,2954.198,2597.8097,3420.7899,1206.5404,869.1525,1744.8272,1200.8068,,5068.6807,4472.6477,4582.4774,394.9413,375.668
1194,,,,,,1390.8068,1483.295,2025.7732,,473.4589,736.3111,474.4392,,1161.0658,1189.9602,1697.2349,212.2115,850.9261
1195,,,,,,276.3028,571.3738,354.4522,,171.5251,,,,277.8074,,,,422.9564
5166,,,,,,,,160.5712,,,,,,233.7372,240.4146,212.1497,,
1196,,,,,,264.3816,463.8766,315.0293,167.3636,150.6267,221.5204,225.9402,,,,277.4828,,
1197,,,,,,,,,,,,,,,,182.9503,,
1198,,,,,,,,,,,,,,227.5407,207.38,,,
5167,4134.759,233.1799,,670.2044,1306.3419,,,,,,,,,,,,,5041.8603
1199,,,,,,136.8421,,,,,,,,,145.105,189.1417,,
1200,,,,,,676.693,788.7357,897.7651,,267.6172,773.8982,451.0046,,889.1928,677.3642,723.9178,226.969,398.6198
1201,,,,,,766.1099,832.6236,780.0383,354.8882,418.158,576.2147,648.4948,,569.9567,509.9269,766.3799,,502.8879
1203,,,,,,,,,,,186.6488,124.2285,,189.5002,211.6266,263.1346,,
1204,,,,,,163.6222,,179.1383,,,,,,,,,,
1202,,,,,,,258.7948,,,122.6287,168.6059,154.9029,,,,,,
1206,,,,,,,,,,,,,,,,,,580.0843
5168,,,,,,291.2118,294.5773,,,,,,,,,,,
1207,945.9265,,,325.5825,582.663,,,,,,,,,,,,,996.4425
1209,,,,,,,,,,,107.8896,,,,,,,
1210,367.7866,,,,175.3202,,,,,,,,,,,,,344.0555
1211,,,,,,39.1947,,,,,,,,,,,,45.86
1213,,,,,,146.5785,,410.9784,,,,,,407.4436,,485.7673,,
1214,,,,,,,,163.6379,,,,,,,,,,896.2179
1216,,,,,,98.2204,,124.5104,,,72.0533,,,191.2964,,,,
1218,,,,,,,,,,,,,,,293.4468,,,
1217,,,,,,,,165.9351,,,,,,,246.493,320.4388,,
1219,,,,,,,,99.6326,,,,,,,,331.4054,,
1221,,,,,,95.3644,,80.6797,,,,,,,,93.5844,,
1223,,,,,,1847.3716,1774.6788,17625.1907,,,,,,2957.9211,2494.776,9287.3353,,2321.1168
5169,,,,,,,,,351.0958,,,,,,,,,
5170,1551.0247,,,,,,,,,,,,,,,,,3572.929
1224,,,,,514.3472,,,,,,,,,,,,,
5171,,,,,,166.0178,,,,,,,,,,,,
5172,,,,,,,164.3033,,,,,,,,,,,
1226,,,,,,,132.8955,96.0283,,,76.7069,,,63.6301,,,,
1227,,,,,,,210.317,,,,,,,,,,,
1228,,,,,,,191.3819,,,,,,,,173.1532,,,
1229,,,,,,429.9073,373.1731,557.1157,,,214.407,175.2326,,,,,,
1230,,,,,,460.7044,623.6806,523.646,310.2487,310.2994,416.636,,,420.5518,268.2839,667.5665,,204.8443
1233,,,,,,430.5361,289.1918,380.1831,,195.0615,315.3342,209.0578,,425.9678,574.194,660.3661,,318.8036
1234,,,,,,,539.4485,523.1844,,267.0814,509.2386,350.312,,507.9806,485.8276,411.9012,,
1235,,,,,,,,516.1044,350.5394,,234.5448,,,240.6768,176.3709,329.4604,,
1236,,309.5023,,,,,378.9596,411.0698,402.3786,,,,370.5245,,,,,
1239,,,,,,217.8137,,390.4301,,,,,,,,,,
1238,,,,,,,,331.7815,,,,,,,319.4926,393.0524,,
1240,871.5419,,,208.8672,,,,,,,,,,,,,,1319.0726
5173,,,,,,162.4895,,,,,,,,,,,,
1242,,,,,,625.346,741.6556,552.1663,,60.2912,,87.0621,,176.0382,,,,
1243,,,,,,208.8791,281.0833,205.3755,,,,,,,,,,
5174,603.0241,,,,,440.2398,395.1047,466.1229,,337.8847,463.156,462.1198,,519.6517,486.5253,513.7437,,584.317
1245,,,,,,,,,,,37.2864,,,35.4691,,,,
1247,,,,,,,,130.1867,,,,,,,,,,
1251,,,,,,184.2616,209.0085,268.1181,,,,,,,258.8636,454.4547,,
1252,,,,,,,,,,,185.3587,121.1025,,,,209.0754,,
1254,,,,,,208.5035,,,,,140.3418,,,,,152.045,,
1255,1467.0345,133.7009,,514.4224,836.9949,,,,,,,,,,,,,1930.1734
1256,194.4096,186.8794,,,,248.4055,,,,,,,194.6583,,240.6767,284.7256,,
1257,188.4938,,,,,,,,,,,,,,,,,
1258,,,,,,208.0466,264.7442,262.8585,,,,,,,398.6709,,,
1260,,,,,,,,,,,266.9636,,,138.3603,,,,
1259,,,,,,249.4459,237.1425,,,195.4148,,,,,,347.3196,,131.1452
1261,,,,,,214.1968,216.8669,,84.9381,147.932,,,,186.6698,,268.545,,
1262,,,,,,,,130.3961,,,,,,,,,,
1265,,,,,,420.882,426.3891,273.3242,,,,,,,,,,
1264,,,,,,,,111.9314,,,,,,,,,,
1266,,,,,,195.0556,,,,,142.1985,,,,181.2906,274.3169,,
1267,,,,,,186.4963,,,,132.7601,,,,193.9256,210.8332,301.2939,,177.3581
5177,,,,,,305.9879,243.5089,272.1384,,,,,,,,,,
1269,,,,,,410.7217,,367.2064,,,,,,,,,,
1270,497.4022,,,2145.8667,275.0812,,,,,,,,,,,,,
1271,,,,,,2393.4837,2866.3607,2382.9794,,,1635.8252,1277.0951,,2694.1645,2002.7354,2139.7334,,2030.7349
1272,,,,,,,,,,20.0569,,,,,,,,
1273,,,,,,,,121.5148,,,205.1391,,,,,,,
1275,,,,,,,301.0016,,534.9583,,,,425.7733,,,,,
1276,,,,,,,,460.6913,,,,,,,,,,
1278,,,,,,23047.8933,25339.3873,30923.6037,9773.8883,7257.1295,13466.413,8654.8867,667.6206,24324.8067,24025.0333,29052.4287,2108.3483,12858.7338
1279,201.7956,,,,,,,226.0272,271.241,,248.2752,,,239.5451,265.7011,,,
1283,,,,,,301.8388,,299.2323,,374.2456,602.3076,532.992,,,122.1402,,,201.9136
1284,,,,,,,,,,156.0322,,,,,,,,
5178,,,,,,,,121.4965,,,,155.4538,,,,,,
1287,,,,,,,,237.6971,178.2969,,,,,,,,135.9113,
1288,,,,,,155.6304,222.1227,,,156.6995,260.3383,188.9889,,160.7604,,,,
1289,,,,,,,,,,,,,,,108.3113,,,
1290,,,,,,,578.158,,,193.3391,267.7197,251.027,,459.9651,,367.1323,,340.0019
1293,,,,,,,,,,,169.3201,,,,,,,
1296,,,103.3872,,,182.4094,,,169.4083,,177.2308,,,160.1082,,,,
1297,,,,,,,,262.9683,,164.3744,,204.8658,,338.3022,,,,
1298,,,,,,,,,,,,,,,,148.7072,,
1300,,,219.4208,,,,,,,,,,,78.2603,,96.8415,,73.3883
5179,,,,,,,,,,,,,,,,1588.8085,,
5180,,,,,,290.4967,,,,,,,,,,,,
5181,,,,,,312.1942,234.7866,279.5948,,,,,,,,,,
1302,,,,,,369.3211,358.8972,,,,,,,,,,,
1305,,,,,,,,,376.1188,,,,,,,,,
1306,,,,,,,,65.8537,,,,,,70.9946,79.5202,83.647,,
1307,,,,,,,,139.6241,107.1773,,,,,,,,,
1308,,,,,,,,,,,1468.7171,,,,1566.7264,1979.4763,,
1309,,,,,,155.3502,161.0229,,,,,,,,,,,
1312,,,,,,,172.2085,222.617,151.3835,,337.215,,,,,,,
5182,,,,,,,,,503.0897,,,,,,,,,
1314,,,,,,6828.7735,7148.9972,7642.5223,9162.6027,7139.8755,10084.7717,8976.9012,,8034.9438,7244.1876,8973.9395,,5772.8658
1315,,,,,,265.827,,,,,,,,,,,,
5183,,,,,,,,,,,,,,,245.9978,,,
1316,,,,,273.386,,,,,,,,,,,,,
1318,,,,,,,,,,120.0822,,158.9921,,,,,,
1319,523.5552,,,,,,,,,,,,,,,,,465.449
1320,,,,,,,,,,,,,,,,149.3418,,
1321,,,,,,165.5893,,,,,,,,,,,,240.52
1322,88.749,,,309.4644,,,256.7708,222.2151,,362.6422,308.9516,,,226.464,171.9968,,331.4685,330.6938
1323,,,,,,280.7751,239.1673,307.0398,,,110.3576,88.6602,,292.575,191.1983,292.599,,
1324,,70.9962,,,,,,,,,,,,,,,,
1325,,,,,,164.7203,,,,,,,,,162.3901,,,
1326,,,,,,141.4412,140.2574,,,,,,,,,,,
1327,,,,,,,,146.9194,,,,,,188.786,,183.3738,,
1328,,,,,,,,,,,,,,,,,,1811.672
1329,,,,,170.1816,,,,,,,,,,,,,
1330,,,,,,,,,,,,,,,,,,143.8789
1332,,,,,,,,,,,,,,,,,,468.398
1333,,,,,,,280.3793,,,,,,,,,627.3763,,
1337,,,,,,,1677.5243,,,,2003.8514,,,,1247.5808,,,
5185,,,,,,,,,384.5215,,,,,,,,,
1338,,,,,,,1688.8478,,,,2462.5446,2077.0217,,1984.4286,1811.8095,2101.0917,,
1340,497.4268,,,,,,,,,,,,,,,,,
1344,,,,,,257.9572,230.3446,333.7235,,,,,,471.5922,474.1256,572.7182,,
1345,,,,,,,147.4366,,,,177.0473,,,94.8675,,,,
1346,,,,,,286.2653,285.4777,498.1163,239.2463,114.589,256.2288,166.0512,,,379.9308,,,
1350,,,,,,221.7311,253.5899,268.0271,141.2087,206.5893,373.5219,311.9311,,293.1811,279.1811,313.5303,,
1351,,501.3116,,,192.7572,,,,,,,,,,,,,
1353,,,,,,,,,,,,,,201.8407,,210.6349,,
1354,,,,,213.9219,,,,,,,,,,,,,351.2922
1356,1808.2266,,,,954.7763,,,,,,,,,,,,,1884.0815
1358,471.4211,,,,256.0468,,,,,,,,,,,,,
1359,,,,,,76.7812,,,,,,,147.8268,,,,,
1360,,,,,,,96.3728,,,,,,,,,,,
5187,193.5832,,,,,,,,,,,,,,,,,331.6417
1361,,,,,,,,,,,425.2945,379.8825,,,312.119,,,
1362,,,,,,250.8277,280.6436,266.7005,,,377.9044,325.6994,,,,331.9985,,
1363,,,686.493,,,,,,,,,,,,,,,
1364,,,,,,,,,,,,,,,,266.4354,,
1366,,,,,,821.0293,1156.4522,643.3549,528.4629,741.1664,982.739,867.0815,484.2444,669.9756,640.2438,861.9562,437.9021,314.3415
1367,,,,,,,304.2815,,,,291.1153,,,,190.0159,,,
1368,,,,,,249.0685,298.8714,239.4266,,,327.5568,197.0635,,374.0262,351.4473,510.8603,,
1369,,,,,,,135.639,,,,,,,140.7556,,,,
1371,,,,,,640.564,562.9712,826.2201,207.7637,244.9021,409.439,381.5938,,563.2386,379.4413,686.6698,,281.4557
1372,1020.5038,,,,,611.2006,730.8354,876.6283,,329.5461,,,,,,,,1204.1478
1373,,,,,,,,,,,,,,,208.0323,283.0119,,
1374,,,,,,,,,,,,,,1345.3026,1373.4518,,,
1375,,,,,,960.8338,1165.8532,618.4361,,139.0443,156.6893,127.9722,,181.4537,,315.1815,,
1376,,,,,,,332.434,433.8902,,252.2282,434.3986,286.6772,,413.3262,,591.6694,,194.3395
1377,,,,,,381.7472,547.3468,312.607,,,,,,151.553,,171.5629,,
1378,,,,,,468.7421,508.1281,1147.5417,,216.2629,379.5611,203.6962,,436.0421,516.8198,486.4784,,249.1976
1379,,,,,,,,,,,,,,,,171.6449,,135.3952
1380,,,,,,242.7107,282.2069,234.4148,134.925,,367.9142,,,341.881,372.9942,507.8315,,
1381,,,,,,842.4365,617.1969,694.4872,168.2604,200.8549,432.1475,268.4027,,557.7019,357.5291,565.162,,259.4837
1382,,,,,,,,,,,,,,,,33.1951,,
1383,427.6736,,,,,,,,,,,,,,,,,
1384,,,,,388.0795,,,,,,,,,,,,,
1385,,,,,,,81.7847,74.3858,,73.4628,95.6223,,62.3834,66.5174,68.935,82.5137,,
1386,,,,,,71.8573,324.1269,267.0571,,,228.4228,119.5893,,63.4861,,120.2537,,
1388,,,,,,,384.3803,,,,,,,,,,,
1389,,,,,,55.1283,,,,,,,,46.9463,,,,
1391,,,,,,267.6701,316.8128,,,154.6206,199.8552,,,,316.009,,,
5191,,,,,,,137.018,,,,,,,,,,,
1392,,,,,,,,,,,390.3031,374.2619,,,,,,
1394,,,,,,331.2461,313.3757,392.238,,,355.2104,254.7446,,,328.982,329.3872,,132.5634
1395,,,,,,970.0835,973.5935,1137.9071,315.8841,1007.5336,1515.8143,1094.5789,145.3728,,1165.8976,1790.6982,168.6238,946.9285
1396,,,,,,346.3254,,525.0906,148.8413,,305.1679,234.4673,,288.9764,294.0702,383.0315,,
1397,,,,,,,185.9797,,,,,157.3402,176.552,,200.2547,,,
1398,,,,,,351.3967,292.7845,361.7285,,370.7193,648.2184,562.5514,,326.0147,418.6789,467.6168,,
1399,,,,,,287.9404,,,,,,,,,,227.9213,,
1400,,,,,,,136.2764,157.1306,,,139.0232,121.7454,,222.4358,157.9002,341.3872,,
1401,415.2554,,,,194.5909,,,,,,,,,,,,,
1402,,,,,,765.1194,646.7892,818.8459,168.401,626.9706,1073.4346,816.8248,,777.4104,776.4661,1211.719,,570.2364
5192,,,,,,143.4933,487.6689,,,,899.5862,149.7366,,204.5963,1294.4414,558.2645,,
1404,,,,,,,,,,,,,,,,110.4614,,
1405,,,,,,,,124.7414,,,,,,,,,,
1406,,,,,,157.8259,,,,,,,,410.8205,316.7529,686.1044,,
1408,,,,,,,,,,,,,183.3614,,,144.8822,,
1410,,,,,,267.0182,315.2266,259.1715,,155.5862,293.6235,198.7914,,,229.0368,195.8043,,
1412,,,,,,123.8287,164.595,120.0863,,,163.3126,168.7888,,,,136.9782,,
1413,66.962,,,,45.4758,,,,,,,,,,,,,
1415,35182.918,3624.924,353.4251,11090.4242,19342.791,,,,,,,,,,,,,47486.4838
1416,,,,,,,,,,221.7329,502.641,382.8865,,156.4497,,230.5864,,
1420,,,,,,,77.2775,,,,,,,,,297.6921,,
1421,,,,,,,300.7712,310.1506,,,,,,,,,,
1423,,,,,,,,,,,104.8547,,,,,,,
1424,,,,,150.7771,,,,,,,,,,,,,
1425,,,,,,349.9759,300.9394,,,,350.081,285.8619,,,262.1655,,,
1426,278.3765,,,,162.2822,,,,,,,,,,,,,
5193,,,,,,,,,,,,,,,,119.5601,,
1427,,,,,,,,,138.5081,,,,,,,,,
1431,148.9823,,,141.2468,,,,,,,,,153.1364,148.6606,,,99.1623,
1432,,,,,,,152.2924,,,,127.2399,,,,,,,173.0363
1433,,,,,,,,,,343.1409,377.1182,,2150.9285,,,742.836,,501.3541
1434,253.7694,,,,,,,,,,,,,,,,,
5194,2455.639,,,,1166.4058,,,,,,,,,,,,,2658.2104
1435,,,,,,846.8959,822.2633,971.923,462.3406,382.1766,672.5386,552.903,141.1035,508.4268,443.2339,786.945,,489.1841
1436,,,,,,403.0138,,516.5473,200.5338,,576.399,494.827,,508.2528,400.6746,,,163.1897
1437,,,,,,476.9387,594.7414,742.6522,194.3838,385.0552,412.0689,511.9148,,669.7675,456.7668,1320.8614,171.3371,381.0995
1438,,,,,,,8820.171,8789.1868,1482.7161,1178.9186,1549.5672,,,8738.7327,8127.6626,8843.693,,
1439,,,,,,,,,,,,,,,,,,269.3464
1440,5325.838,528.6102,,1675.1601,2862.0803,,,,,,,,,,,,,6420.5351
1441,,,,,,,,521.7268,,,,,,1159.6497,,1147.1186,,
1443,,,,,,321.0547,327.9906,428.1772,103.6694,126.3204,253.7572,193.6062,,354.8708,,504.6751,,164.0588
1442,,,,,,619.9305,,912.3076,293.7255,,,,,699.6703,,,,328.2755
1444,,,,,,218.4903,,311.6545,,145.7423,,,,346.849,242.8932,413.6802,,161.4334
1445,,,,,,383.4528,418.0759,477.886,,245.7625,495.9835,417.6708,,515.6496,592.5492,830.5507,,
1449,,,,,,,,,,,,,,,,147.9363,,
1451,,,285.9785,,174.1958,,404.9916,,444.7419,,280.8828,315.2126,,,,353.575,,444.6042
1452,,,,,,,7179.7314,7151.7183,,5858.7759,9212.19,8079.0442,1161.703,7325.2673,6982.7642,7918.084,928.7235,
1453,207.4257,,,,106.4321,,,,,,,,,,,,,
5195,,,,,,367.3884,,350.0597,,,,,,,,,,155.6746
1454,,,,,,206.1064,,,,,,,,,,,,
5196,,,,,,,,201.9318,,,,828.3974,,,,,,
1455,1767.5513,135.1563,,,982.2612,,,,,,,,,,,,,2079.7628
1456,,,,,,,58.525,,,,,,,,,,,
1457,,,,,,857.0433,1131.9621,1273.5058,,126.7137,196.7755,,,1203.0733,1134.0491,1205.7366,,312.4441
1458,533.3474,,,148.9046,144.9028,,,,,,,,,,,,,
1459,,,,,,,,287.9258,,,274.836,218.0576,,636.8981,536.6646,874.1188,,132.9979
1461,,,,,,101.2828,172.2881,150.5676,,,98.857,,,161.1426,,,,
1462,,,,,,1994.9512,2317.5076,2316.6754,532.1564,1889.2929,2993.898,2624.312,,2371.5285,2237.4876,2492.26,288.9336,1478.5243
5197,254.0422,42.8671,,,,,,151.9184,,,142.4252,146.2184,67.8832,,,104.5209,,394.5878
1464,,,,,,117.6206,,128.0705,99.4005,,,,,91.1933,145.2413,,,
1463,,,,,,,,,148.5456,,,,219.071,,,,283.1183,
1465,,,,,,,,197.1452,,,,,,,148.4677,272.8222,,212.8011
1466,,,,,,,,317.2159,134.3703,,,205.667,,412.7462,361.2101,411.7875,,125.5428
1467,,,,,,609.4889,620.1999,495.3283,204.0379,,354.6825,260.0378,,227.7128,235.2847,279.2731,158.7974,163.713
5199,,,,,,,,,,,,,,,,176.7207,,
1468,1601.9019,,,,922.3654,,,,,,,,,,,,,2532.332
1470,,,,,,462.1378,597.3596,482.1553,322.3996,206.3962,,,,,197.7245,,,
1471,,,,,,704.6229,741.0887,539.1037,141.6519,,,,,,,279.2161,,
1472,,,,,,584.9342,624.3228,,87.4189,,,,,,,259.593,,
1474,,,,,,,,,,,,,,,,,,2777.975
5200,,,,,,,,,,,117.759,130.2964,,,,260.3844,,
1475,6038.8267,560.1629,,1794.706,3064.2703,3553.6849,3733.6295,3721.0346,259.797,726.8216,1553.6019,1086.3804,,4264.0516,4066.0714,4702.6978,,11190.2978
1476,,,282.8142,,,,,,,,,,,,,,,
1477,772.671,,,,452.4343,,,,,,,,,,,,,549.7227
1478,,,121.5804,,,,,,,,,,,,,,,
1479,,,,,,2110.4988,2296.5374,2283.1407,,1900.9798,2981.7635,2569.6534,,2331.5976,2251.8724,2591.9427,291.1889,1510.1255
1480,,,,,,,424.0224,347.3682,27.9202,,,,,,,123.245,,
1483,931.0578,,,,564.6658,,,,,,,,,,,,,
1484,,,,,,,313.4284,242.5676,,,,,,,,,,
1485,,,,,,158.4165,,213.4781,,,385.6966,244.2567,,289.0601,294.2233,407.9811,,
1487,,,,,,,,417.559,203.6164,,,,,300.0952,,344.4208,,
1488,,2527.1317,3947.2499,,,,,,,,,,,,,,,
1490,,,1992.7583,,,,,,,,,,,,,,,
1491,,,,,,343.7666,424.1157,379.713,,311.5005,526.385,435.1585,,427.4898,391.6391,458.9449,,254.0135
5201,,,,,,186.6724,,,,,,,,,389.5255,,,
1492,,,,,,,,,,,,429.2947,,,375.5978,,,
1493,,,,,,,,,,,,231.3059,,,164.0321,176.1018,,
1495,,,,,,140.1767,,,,,,,,,,,,
1499,,,,,,,,161.0116,,,,,,,,,,
1501,,,,,,,,,92.8748,,,,,,,,,
1502,,,,,,302.4262,438.3334,523.7419,180.9216,,,,,,,341.4851,,
1503,,,,,,,,,,,,,,112.9792,,149.4449,,
1505,,,328.7058,,272.0613,,,,,,,,,,,,,
1506,,,,,,,,,181.0359,,,,186.2606,,,,,
1507,,,,,,,,,,,110.2874,,,83.2253,,108.1759,,
1508,,,,,,,,,,,740.8729,,,,,,,132.1021
1509,,,652.1542,,,,,,,,,,,,,,,
1510,37.8299,,,,,,,,,,,,,,,,,
1512,,,,,,135.1705,130.9743,,195.9788,138.4871,,,,,,124.9571,,
1513,,,,,,161.3859,,187.9706,,,232.6826,,,201.5938,158.9223,,,
1514,,,,,,102.3874,,,,,,,,,,,,
1515,,,,,,198.3709,,,,,,,,,,,,
1516,,,,,,,93.3424,145.0047,,145.1118,253.8699,210.5634,,271.6699,222.3306,,,
1517,,,,,,,,,,,,,,,,1538.6803,,
5203,,,,,,,,,,,814.6152,,589.7931,855.8342,,,654.9401,
1521,,,,,,,,,,,,185.4459,,,,,,
1522,,,,,,,,,,,,,983.6753,,,,,
1523,,,,,,,208.2554,,,,242.3322,,,,,392.0504,,
1526,,,,,,252.9275,,,,,,,,,205.1111,248.384,,
1524,,,,,,,224.8507,239.3059,,,,,,278.8336,,334.4941,,
1531,,,,,,,,146.6532,,,,,,,118.0707,177.1816,,
1530,,,,,,286.6936,361.0682,,,,,,,399.3497,350.3384,682.4166,,
1533,,23.8046,,,,,,,,30.2667,,,,,,,,
5204,129.7084,,120.3795,,,,,,,149.7538,,,,,124.9455,90.5486,,
1534,,,,,,,,,,,129.4998,,,,,,,
5206,,,,,,,174.9952,,98.391,,152.849,118.6045,,153.7212,150.9275,120.8405,,
1535,129757.42,14125.505,1682.9321,43863.4133,71430.83,,,,,,,,,,,,,168839.6925
1536,,,,,,,,,158.3308,,,,,,,,,
1541,146.1978,,,,124.7226,,,,,,,,,,,,,174.4485
1542,,,,,,238.6595,278.3954,248.9514,266.4491,,,,265.8536,,,,,373.6184
