Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_,BlankSub Mean Pooled_
5032,419.2168,206.3306,185.554,277.5624,380.864,,,,,,,,,,,,,370.6131
5033,167.6925,,,,,,,,,,,,,,,,,
81,891.1658,295.4011,,,720.2555,149.6183,,,144.6201,,,132.6001,,148.6377,156.5652,,,902.0731
82,688.0366,,,,,,,,,,,,,,,,,940.4909
84,,118.7974,124.5275,,96.0557,,,,,,,,,,,,,
86,,,,,,,254.2382,244.0433,,,,,,,,,,
88,912.618,,,,,,,,,,,,,,,,,966.4284
90,,,,,,99.2033,,,,106.1415,191.4555,149.8954,,,,,,
92,235.0763,,,,128.5815,,,,,,,,,,,,,281.6713
91,,,,,,141.7202,126.766,138.9499,,,,,,,,,,
93,185.8609,,,,,,,,,,,,,,,,,
95,,,,,,109.6441,146.7935,184.9413,,,,,,123.9614,,,,
97,,,,314.7936,,,,,,,550.7186,,646.0663,,,,681.5973,
98,,,,,,15356.8667,16828.2593,16795.273,7718.6053,14888.9533,21338.2377,19049.171,4840.9142,17386.0087,16347.1003,19009.802,4210.1763,12229.5635
99,,668.8069,931.8561,,,,,,,,,,,,,,,
100,337.8804,,,131.2142,168.4643,,,,,,,,,,,,,459.2773
102,,,,,,2612.5688,2871.1644,2915.8142,1282.8287,2504.7195,3519.19,3112.2125,,2889.2667,2782.7254,3141.3988,,2093.0498
103,,,,,,,,317.926,,,,,,,,,,
107,,407.9725,499.6099,,407.0116,,,,,,,,,,,,,
108,,,,,,2270.8757,2641.6516,2587.6249,1155.8139,2257.0738,3334.3204,2937.7624,807.0721,2707.4005,2481.0722,2911.6325,671.0176,1836.6271
109,147.5855,,,,,,,,,,,,,,,,,155.9443
111,246.7813,,,,,,,,,31.7315,,,,,,,,256.9228
112,225.3862,,,,150.8063,,,,,,,,,,,,,
114,,,,,,,,,,,,154.7754,,,,,,
115,,,,,,,,,,440.2458,881.26,155.3906,288.953,,,,,
117,,,,,,,,,,,179.0502,154.7894,,,,,,
5034,512.5753,3057.3604,3057.2788,3040.5628,2019.6405,1393.7449,1162.0399,999.7728,1378.8657,1033.2454,859.2875,801.9113,,998.5652,1001.8931,771.0155,,1139.3228
119,,,,85.8423,129.1731,,,,,,,,,,,,,215.3603
121,,,,,,,,,,141.4292,,,,,,,,
123,953.3961,154.6068,,,546.581,,,,,,,,,,,,,1032.8202
124,317.813,,,,188.7538,,,,,,,,,,,,,
125,,,,,,,,,343.6381,,487.1122,,,,,,,291.3396
5036,,,166.6914,,,720.9819,643.7906,768.9736,288.2487,545.6102,935.5256,807.7743,209.5701,758.0141,742.3685,807.0618,228.1767,
5037,1207.4032,224.9661,219.5145,263.0114,718.9426,,,,,,,,,,,,,
126,2361.7688,198.7042,,790.3825,1394.4792,,,,,,,,,,,,,3002.396
127,764.114,240.7386,174.5975,,622.8095,,,,,,,,,,,,,846.7016
130,,,,,,,,173.8551,,,200.4782,,,,,182.5619,,
5038,,,,,,,94.8697,88.7805,,,125.6645,94.199,,87.3955,106.1605,100.7724,,
133,,,,,,,,,,,,,,,,,,89.7417
5039,,,,,,119.2874,81.9763,147.5679,46.5744,90.1878,160.7109,,37.6982,133.0718,94.9242,133.6071,,
134,,,,,,,,,,,180.8956,,,,,180.357,,
137,,,,,,,158.7437,,,,116.362,,,,160.7301,,,
138,13249.313,2478.447,330.4416,7494.9399,11478.868,226.8944,,,,,,,,,325.3788,,,
140,20916.426,2467.2644,321.8842,7419.6306,11318.63,,,,,,,,,,,,,26928.625
141,,,110.7717,93.4091,,127.1317,,135.6046,91.5703,83.258,,,,,,134.6803,89.9407,
142,,,,,,,,,,,,,45.4325,312.4146,,,,
145,,,,,,215.5349,,,,,469.0482,324.6401,,287.9661,,,,
146,,,,,,159.7117,,,,,,,,,,137.5119,,
5040,,,,,,813.6698,1296.2406,1322.3177,,,,,,,,546.6823,,
147,,,,,,6184.9999,12336.231,10289.2893,,1908.7063,6005.0395,4141.7484,,2039.543,4541.9639,5236.5591,,3624.7117
5041,,,,,,,119.4351,,,,178.2198,138.4366,,134.6483,114.7997,111.8641,,
148,108.3201,,,,,,,,,,,,,,,,,
149,,,,,,,191.3335,130.6504,,,,,,,278.4486,222.8282,,
151,141.5002,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,257.4458
5042,,,,,,,,,,,,,,,,,,619.7174
153,,,,,,186.5039,148.4132,251.8862,,,146.2715,,,170.3522,158.8125,240.5806,,
5043,359.4076,637.8349,1088.7582,,444.379,,,,,,,,,,,,,
155,,201.9852,308.8562,,138.8684,2737.4606,2990.0985,2985.2372,1349.2332,2560.3799,3618.1042,3269.8067,950.231,2934.5662,2719.8295,3090.6301,927.01,2124.1595
5044,,260.7595,304.4961,249.55,184.1702,,126.1454,245.6097,122.1151,135.4827,,206.4174,182.4034,139.0755,,131.1464,207.1374,
